JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3455048 99.99999 9.99999 99.99999 9.99999 1.61885 0.03975 0.0039894 1.9728
2461182.3457735 -0.59510 0.05077 1.04018 0.02475 1.63528 0.04665 0.0039893 1.9736
2461182.3459672 -0.62539 0.06306 1.05630 0.02794 1.68169 0.05905 0.0039893 1.9742
2461182.3462324 99.99999 9.99999 99.99999 9.99999 1.32375 0.06295 0.0039893 1.9749
2461182.3463650 99.99999 9.99999 99.99999 9.99999 1.61356 0.07043 0.0039893 1.9753
2461182.3464979 -0.51265 0.08759 99.99999 9.99999 99.99999 9.99999 0.0039893 1.9757
2461182.3466308 99.99999 9.99999 99.99999 9.99999 1.48241 0.06997 0.0039893 1.9762
2461182.3468260 -0.58435 0.09555 1.03038 0.04925 1.61473 0.08606 0.0039893 1.9767
2461182.3469582 99.99999 9.99999 99.99999 9.99999 1.53112 0.07861 0.0039892 1.9772
2461182.3470925 99.99999 9.99999 1.09834 0.05270 99.99999 9.99999 0.0039892 1.9776
2461182.3472267 99.99999 9.99999 99.99999 9.99999 1.42241 0.07675 0.0039892 1.9780
2461182.3473602 -0.22676 0.09693 1.31237 0.06240 1.53913 0.07852 0.0039892 1.9784
2461182.3475574 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039892 1.9790
2461182.3476896 99.99999 9.99999 1.35717 0.06452 99.99999 9.99999 0.0039892 1.9794
2461182.3478220 -0.16349 0.09956 1.12461 0.06893 1.28809 0.07897 0.0039892 1.9798
2461182.3479546 -0.24551 0.09938 1.30889 0.06535 1.55440 0.07917 0.0039892 1.9803
2461182.3480881 -0.20598 0.10168 1.22299 0.06859 1.42897 0.08115 0.0039892 1.9807
2461182.3482879 -0.14990 0.10856 1.25607 0.07342 1.40597 0.08583 0.0039892 1.9813
2461182.3485536 -0.21600 0.09872 1.20970 0.06710 1.42570 0.07838 0.0039891 1.9822
2461182.3486858 -0.16482 0.10369 1.29984 0.07009 1.46467 0.08154 0.0039891 1.9826
2461182.3488187 -0.19494 0.09417 1.23928 0.06542 1.43422 0.07293 0.0039891 1.9830
2461182.3490145 -0.18708 0.10445 1.46188 0.07437 1.64897 0.07739 0.0039891 1.9837
2461182.3491472 -0.07048 0.09369 1.46796 0.06967 1.53844 0.06674 0.0039891 1.9841
2461182.3492806 99.99999 9.99999 1.35971 0.06858 99.99999 9.99999 0.0039891 1.9846
2461182.3494151 -0.03369 0.08530 1.46832 0.06659 1.50201 0.05700 0.0039891 1.9850
2461182.3495493 0.03180 0.08433 1.57718 0.06852 1.54538 0.05237 0.0039891 1.9855
2461182.3498778 0.00189 0.06599 1.59118 0.05327 1.58929 0.04121 0.0039890 1.9866
2461182.3500098 0.08111 0.06213 1.50942 0.05028 1.42831 0.03941 0.0039890 1.9870
2461182.3501442 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039890 1.9875
2461182.3504586 99.99999 9.99999 1.81272 0.04661 99.99999 9.99999 0.0039890 1.9886
2461182.3505907 0.31823 0.04744 1.79264 0.03822 1.47440 0.03010 0.0039890 1.9890
2461182.3507241 0.33046 0.05615 99.99999 9.99999 99.99999 9.99999 0.0039890 1.9895
2461182.3508585 0.31069 0.05527 1.87083 0.04480 1.56013 0.03435 0.0039890 1.9899
2461182.3509925 0.23942 0.05456 1.71962 0.04260 1.48020 0.03635 0.0039890 1.9904
2461182.3511920 99.99999 9.99999 99.99999 9.99999 1.36464 0.03436 0.0039889 1.9911
2461182.3513242 0.22977 0.06271 99.99999 9.99999 99.99999 9.99999 0.0039889 1.9916
2461182.3514587 0.02049 0.05543 1.55997 0.04032 1.53948 0.04040 0.0039889 1.9921
2461182.3515943 0.26460 0.04716 1.78149 0.03758 1.51688 0.03038 0.0039889 1.9925
2461182.3519251 0.09663 0.04715 1.76937 0.03601 1.67274 0.03192 0.0039889 1.9937
2461182.3520573 0.45569 0.05454 1.94283 0.04637 1.48715 0.03071 0.0039889 1.9942
2461182.3521912 0.27447 0.05308 1.92180 0.04247 1.64734 0.03347 0.0039889 1.9947
2461182.3523237 0.37640 0.05097 1.66291 0.04299 1.28651 0.03020 0.0039889 1.9952
2461182.3524565 0.28835 0.05296 1.91102 0.04335 1.62267 0.03217 0.0039889 1.9957
2461182.3526518 0.18031 0.05324 99.99999 9.99999 99.99999 9.99999 0.0039888 1.9964
2461182.3527843 0.59505 0.06241 2.12908 0.05494 1.53403 0.03142 0.0039888 1.9969
2461182.3529182 0.39493 0.05524 1.83727 0.04562 1.44234 0.03335 0.0039888 1.9974
