JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 3, Filter: IRCUT, JD: heliocentric
2461157.4169139 1.13757 0.06797 99.99999 9.99999 99.99999 9.99999 0.0007742 1.3456
2461157.4170469 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007742 1.3451
2461157.4171815 99.99999 9.99999 0.84426 0.07705 99.99999 9.99999 0.0007742 1.3445
2461157.4174277 1.22907 0.09078 0.91355 0.09479 -0.31552 0.04766 0.0007742 1.3434
2461157.4175599 99.99999 9.99999 0.83803 0.09129 99.99999 9.99999 0.0007742 1.3429
2461157.4176940 1.26142 0.09622 99.99999 9.99999 99.99999 9.99999 0.0007742 1.3423
2461157.4178272 1.12115 0.08800 0.93601 0.08982 -0.18513 0.04539 0.0007742 1.3417
2461157.4179610 1.21413 0.09014 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3411
2461157.4182059 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3401
2461157.4183380 99.99999 9.99999 99.99999 9.99999 -0.19454 0.05211 0.0007743 1.3395
2461157.4184719 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3389
2461157.4186052 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3384
2461157.4187392 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3378
2461157.4189861 1.18891 0.08602 1.05477 0.08770 -0.13414 0.04151 0.0007743 1.3367
2461157.4192520 1.29292 0.09663 0.78662 0.10250 -0.50630 0.05122 0.0007743 1.3356
2461157.4193858 1.18972 0.09084 0.83155 0.09509 -0.35817 0.04957 0.0007743 1.3351
2461157.4195212 1.10080 0.08810 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3345
2461157.4197638 1.32229 0.09776 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3335
2461157.4198964 99.99999 9.99999 1.20813 0.12592 99.99999 9.99999 0.0007743 1.3329
2461157.4200314 1.43815 0.12698 1.19067 0.12897 -0.24748 0.05318 0.0007743 1.3323
2461157.4201647 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3318
2461157.4202987 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3312
2461157.4205429 99.99999 9.99999 1.20357 0.13126 99.99999 9.99999 0.0007743 1.3302
2461157.4206751 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3296
2461157.4208099 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007743 1.3291
2461157.4209435 99.99999 9.99999 99.99999 9.99999 -0.43265 0.05002 0.0007743 1.3285
2461157.4210774 1.61139 0.11498 1.12704 0.11945 -0.48435 0.04927 0.0007743 1.3279
2461157.4213242 1.52544 0.10732 1.01092 0.11176 -0.51452 0.04868 0.0007743 1.3269
2461157.4214569 1.40647 0.11449 0.98786 0.11887 -0.41861 0.05269 0.0007743 1.3264
2461157.4215900 1.38158 0.10176 1.04945 0.10458 -0.33213 0.04549 0.0007743 1.3258
2461157.4217237 1.39404 0.10872 1.12694 0.11142 -0.26710 0.04777 0.0007743 1.3252
2461157.4218586 1.70845 0.12254 1.16450 0.12678 -0.54394 0.04701 0.0007744 1.3247
2461157.4221032 1.37259 0.10211 1.09799 0.10373 -0.27460 0.04426 0.0007744 1.3237
2461157.4222353 1.42076 0.10649 1.19201 0.10793 -0.22875 0.04241 0.0007744 1.3231
2461157.4223702 99.99999 9.99999 99.99999 9.99999 -0.19617 0.04445 0.0007744 1.3226
2461157.4225049 1.30558 0.11338 99.99999 9.99999 99.99999 9.99999 0.0007744 1.3220
2461157.4226384 1.46259 0.10073 1.14595 0.10328 -0.31664 0.04306 0.0007744 1.3215
2461157.4228678 1.42561 0.11056 1.05070 0.11520 -0.37491 0.05155 0.0007744 1.3205
2461157.4230000 99.99999 9.99999 99.99999 9.99999 -0.39864 0.04547 0.0007744 1.3200
2461157.4231342 1.40975 0.09341 0.95378 0.09785 -0.45598 0.04700 0.0007744 1.3194
2461157.4232684 1.65881 0.10794 1.17412 0.11188 -0.48468 0.04495 0.0007744 1.3189
2461157.4234028 1.47142 0.09823 1.05482 0.10177 -0.41660 0.04318 0.0007744 1.3183
2461157.4236482 99.99999 9.99999 99.99999 9.99999 -0.42733 0.04058 0.0007744 1.3173
2461157.4237811 99.99999 9.99999 99.99999 9.99999 -0.48972 0.05343 0.0007744 1.3168
2461157.4239149 1.26561 0.08931 1.00811 0.09140 -0.25750 0.04170 0.0007744 1.3162
2461157.4240480 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007744 1.3157
2461157.4241823 99.99999 9.99999 1.01748 0.10699 99.99999 9.99999 0.0007744 1.3152
2461157.4244281 99.99999 9.99999 1.46882 0.14749 99.99999 9.99999 0.0007744 1.3142
2461157.4245603 1.56607 0.12168 1.30082 0.12380 -0.26526 0.04587 0.0007744 1.3136
2461157.4246936 1.14369 0.09136 0.84121 0.09507 -0.30249 0.05020 0.0007744 1.3131
2461157.4248269 99.99999 9.99999 1.02243 0.11823 99.99999 9.99999 0.0007744 1.3125
2461157.4249609 1.30250 0.08703 0.71974 0.09389 -0.58276 0.05058 0.0007744 1.3120
2461157.4251973 1.28265 0.10224 99.99999 9.99999 99.99999 9.99999 0.0007744 1.3111
2461157.4254634 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007744 1.3100
2461157.4255956 99.99999 9.99999 0.96935 0.09363 99.99999 9.99999 0.0007744 1.3095
2461157.4257286 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007744 1.3089
2461157.4258614 1.22512 0.10427 99.99999 9.99999 99.99999 9.99999 0.0007745 1.3084
2461157.4261040 1.23943 0.08525 0.73656 0.09146 -0.50287 0.04857 0.0007745 1.3074
2461157.4262365 1.21705 0.09603 0.96488 0.09819 -0.25218 0.04687 0.0007745 1.3069
2461157.4263702 99.99999 9.99999 1.06168 0.10398 99.99999 9.99999 0.0007745 1.3064
2461157.4265036 1.29139 0.10429 0.94095 0.10822 -0.35044 0.05181 0.0007745 1.3058
