JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3824641 -2.45379 0.01697 -0.0003264 1.0501
2461218.3826188 -2.42355 0.01667 -0.0003264 1.0502
2461218.3826962 -2.53010 0.02010 -0.0003264 1.0503
2461218.3827743 99.99999 9.99999 -0.0003264 1.0503
2461218.3829373 99.99999 9.99999 -0.0003264 1.0505
2461218.3830157 -2.13058 0.01802 -0.0003264 1.0506
2461218.3830927 99.99999 9.99999 -0.0003264 1.0506
2461218.3831700 -2.35544 0.01636 -0.0003264 1.0507
2461218.3832474 -2.34309 0.01585 -0.0003264 1.0508
2461218.3834876 99.99999 9.99999 -0.0003265 1.0510
2461218.3835653 -2.47174 0.01712 -0.0003265 1.0510
2461218.3836425 -2.43037 0.01554 -0.0003265 1.0511
2461218.3837202 -2.42948 0.01767 -0.0003265 1.0512
2461218.3839562 -2.47155 0.01818 -0.0003265 1.0514
2461218.3840332 -2.37317 0.01609 -0.0003265 1.0515
2461218.3841107 99.99999 9.99999 -0.0003265 1.0515
2461218.3841891 99.99999 9.99999 -0.0003265 1.0516
2461218.3843441 99.99999 9.99999 -0.0003265 1.0517
2461218.3844215 99.99999 9.99999 -0.0003265 1.0518
2461218.3844989 -2.46031 0.01704 -0.0003265 1.0519
2461218.3845758 -2.41326 0.01690 -0.0003265 1.0519
2461218.3846534 99.99999 9.99999 -0.0003265 1.0520
2461218.3848170 -2.39272 0.01730 -0.0003265 1.0522
2461218.3848932 99.99999 9.99999 -0.0003265 1.0522
2461218.3849714 -2.48115 0.01709 -0.0003265 1.0523
2461218.3850488 -2.45145 0.01751 -0.0003265 1.0524
2461218.3851274 -2.46018 0.01673 -0.0003265 1.0524
2461218.3852862 -2.47188 0.01626 -0.0003265 1.0526
2461218.3855371 -2.45142 0.01756 -0.0003265 1.0528
2461218.3856154 -2.54802 0.01880 -0.0003265 1.0529
2461218.3856933 99.99999 9.99999 -0.0003265 1.0530
2461218.3860191 -2.36311 0.01801 -0.0003265 1.0532
2461218.3860954 99.99999 9.99999 -0.0003265 1.0533
2461218.3861728 99.99999 9.99999 -0.0003265 1.0534
2461218.3863374 -2.52580 0.02081 -0.0003265 1.0535
2461218.3864158 -2.33159 0.01660 -0.0003265 1.0536
2461218.3864941 -2.59612 0.01956 -0.0003265 1.0537
2461218.3865716 99.99999 9.99999 -0.0003265 1.0538
2461218.3866499 -2.45632 0.01999 -0.0003266 1.0538
2461218.3869619 -2.54622 0.02041 -0.0003266 1.0541
2461218.3870393 -2.34249 0.01708 -0.0003266 1.0542
2461218.3871170 -2.47848 0.01842 -0.0003266 1.0543
2461218.3873631 -2.39781 0.01969 -0.0003266 1.0545
2461218.3874406 -2.15825 0.01887 -0.0003266 1.0546
2461218.3875183 -2.32542 0.01671 -0.0003266 1.0546
2461218.3875971 99.99999 9.99999 -0.0003266 1.0547
2461218.3878359 -2.24231 0.01906 -0.0003266 1.0549
2461218.3879147 -2.28570 0.02056 -0.0003266 1.0550
2461218.3879923 -2.25737 0.01987 -0.0003266 1.0551
2461218.3880698 99.99999 9.99999 -0.0003266 1.0552
2461218.3883066 -2.52179 0.02037 -0.0003266 1.0554
2461218.3885396 -2.51282 0.01974 -0.0003266 1.0556
2461218.3887039 99.99999 9.99999 -0.0003266 1.0558
2461218.3887811 -2.37604 0.01940 -0.0003266 1.0558
2461218.3888594 99.99999 9.99999 -0.0003266 1.0559
2461218.3889362 -2.25306 0.01889 -0.0003266 1.0560
2461218.3891765 99.99999 9.99999 -0.0003266 1.0562
2461218.3892545 -2.28637 0.01638 -0.0003266 1.0563
2461218.3894876 99.99999 9.99999 -0.0003266 1.0565
2461218.3896486 -2.37271 0.01804 -0.0003266 1.0567
2461218.3897250 99.99999 9.99999 -0.0003266 1.0567
2461218.3898795 -2.29559 0.01739 -0.0003266 1.0569
2461218.3901259 -2.37483 0.01646 -0.0003267 1.0571
2461218.3902805 99.99999 9.99999 -0.0003267 1.0573
2461218.3903580 99.99999 9.99999 -0.0003267 1.0574
2461218.3904375 -2.36824 0.01889 -0.0003267 1.0574
2461218.3907536 -2.38121 0.01782 -0.0003267 1.0577
2461218.3909091 99.99999 9.99999 -0.0003267 1.0579
2461218.3910703 -2.42258 0.02007 -0.0003267 1.0581
2461218.3911472 99.99999 9.99999 -0.0003267 1.0581
2461218.3912244 99.99999 9.99999 -0.0003267 1.0582
2461218.3913026 99.99999 9.99999 -0.0003267 1.0583
2461218.3913799 99.99999 9.99999 -0.0003267 1.0584
2461218.3915391 99.99999 9.99999 -0.0003267 1.0585
2461218.3916162 -2.24453 0.01634 -0.0003267 1.0586
2461218.3916944 -2.10835 0.01887 -0.0003267 1.0587
2461218.3920133 -2.38974 0.01870 -0.0003267 1.0590
2461218.3920910 -2.47259 0.02182 -0.0003267 1.0591
2461218.3922469 99.99999 9.99999 -0.0003267 1.0592
2461218.3923260 -2.50697 0.02246 -0.0003267 1.0593
2461218.3924823 -2.43397 0.02084 -0.0003267 1.0595
2461218.3926378 -2.23193 0.01687 -0.0003267 1.0596
2461218.3927937 -2.26043 0.01739 -0.0003267 1.0598
2461218.3929544 -2.33700 0.01967 -0.0003267 1.0599
2461218.3930332 -2.14494 0.01717 -0.0003267 1.0600
2461218.3931096 99.99999 9.99999 -0.0003267 1.0601
2461218.3931877 -2.59906 0.02151 -0.0003267 1.0602
2461218.3934244 99.99999 9.99999 -0.0003268 1.0604
2461218.3935822 99.99999 9.99999 -0.0003268 1.0606
2461218.3936594 -2.40497 0.01859 -0.0003268 1.0606
2461218.3937366 99.99999 9.99999 -0.0003268 1.0607
2461218.3939058 99.99999 9.99999 -0.0003268 1.0609
2461218.3939845 99.99999 9.99999 -0.0003268 1.0610
2461218.3940629 99.99999 9.99999 -0.0003268 1.0611
2461218.3941402 99.99999 9.99999 -0.0003268 1.0611
2461218.3945326 -2.24462 0.02021 -0.0003268 1.0615
2461218.3946112 -2.44253 0.02251 -0.0003268 1.0616
2461218.3948555 -2.44712 0.02134 -0.0003268 1.0619
2461218.3949327 99.99999 9.99999 -0.0003268 1.0620
2461218.3953283 99.99999 9.99999 -0.0003268 1.0624
2461218.3954079 -2.32909 0.01881 -0.0003268 1.0625
2461218.3954856 -2.35954 0.01828 -0.0003268 1.0625
2461218.3956414 99.99999 9.99999 -0.0003268 1.0627
2461218.3958747 99.99999 9.99999 -0.0003268 1.0629
2461218.3960302 -2.21626 0.01863 -0.0003268 1.0631
2461218.3961080 99.99999 9.99999 -0.0003268 1.0632
2461218.3963462 -2.14406 0.01859 -0.0003268 1.0634
2461218.3964232 99.99999 9.99999 -0.0003268 1.0635
2461218.3965792 99.99999 9.99999 -0.0003269 1.0637
2461218.3967387 -2.20397 0.01760 -0.0003269 1.0639
2461218.3969741 -2.43646 0.01894 -0.0003269 1.0641
2461218.3970518 -2.26074 0.01637 -0.0003269 1.0642
2461218.3972115 99.99999 9.99999 -0.0003269 1.0644
2461218.3973656 -2.19307 0.01645 -0.0003269 1.0645
2461218.3976890 -2.29374 0.01643 -0.0003269 1.0649
2461218.3977664 99.99999 9.99999 -0.0003269 1.0650
2461218.3978436 99.99999 9.99999 -0.0003269 1.0650
2461218.3979208 -2.28592 0.01718 -0.0003269 1.0651
2461218.3979990 -2.20506 0.01789 -0.0003269 1.0652
2461218.3983971 -2.12182 0.01630 -0.0003269 1.0656
2461218.3984741 99.99999 9.99999 -0.0003269 1.0657
2461218.3986403 99.99999 9.99999 -0.0003269 1.0659
2461218.3987948 99.99999 9.99999 -0.0003269 1.0661
2461218.3988718 -2.04479 0.01866 -0.0003269 1.0662
2461218.3989490 -2.34134 0.02300 -0.0003269 1.0662
2461218.3991120 99.99999 9.99999 -0.0003269 1.0664
2461218.3992670 99.99999 9.99999 -0.0003269 1.0666
2461218.3993444 -2.24442 0.01896 -0.0003269 1.0667
2461218.3994220 -2.25796 0.01797 -0.0003269 1.0668
2461218.3996581 99.99999 9.99999 -0.0003269 1.0670
2461218.3997352 99.99999 9.99999 -0.0003269 1.0671
2461218.3998127 99.99999 9.99999 -0.0003270 1.0672
2461218.4001315 99.99999 9.99999 -0.0003270 1.0676
2461218.4003636 99.99999 9.99999 -0.0003270 1.0678
2461218.4006045 99.99999 9.99999 -0.0003270 1.0681
2461218.4006835 99.99999 9.99999 -0.0003270 1.0682
2461218.4008390 -2.00218 0.02005 -0.0003270 1.0683
2461218.4010748 -2.19234 0.01918 -0.0003270 1.0686
2461218.4011522 -2.14005 0.01836 -0.0003270 1.0687
2461218.4012297 99.99999 9.99999 -0.0003270 1.0688
2461218.4013083 -2.07112 0.01732 -0.0003270 1.0689
2461218.4014701 -2.49914 0.02284 -0.0003270 1.0691
2461218.4016264 99.99999 9.99999 -0.0003270 1.0692
2461218.4019424 -2.10786 0.01670 -0.0003270 1.0696
2461218.4020192 99.99999 9.99999 -0.0003270 1.0697
2461218.4021756 -2.24979 0.02141 -0.0003270 1.0699
2461218.4022529 -2.21521 0.02064 -0.0003270 1.0699
2461218.4024951 -2.19687 0.01766 -0.0003270 1.0702
2461218.4025733 -2.13448 0.01747 -0.0003270 1.0703
2461218.4028888 -1.85311 0.01600 -0.0003270 1.0707
2461218.4029672 99.99999 9.99999 -0.0003270 1.0708
2461218.4031233 99.99999 9.99999 -0.0003271 1.0709
2461218.4033640 -2.18090 0.01623 -0.0003271 1.0712
2461218.4034418 99.99999 9.99999 -0.0003271 1.0713
2461218.4036746 99.99999 9.99999 -0.0003271 1.0716
2461218.4038402 99.99999 9.99999 -0.0003271 1.0718
2461218.4039956 99.99999 9.99999 -0.0003271 1.0720
2461218.4043930 -2.05232 0.01711 -0.0003271 1.0724
2461218.4044700 -2.29466 0.01910 -0.0003271 1.0725
2461218.4047899 -2.19302 0.02029 -0.0003271 1.0729
2461218.4048674 99.99999 9.99999 -0.0003271 1.0730
2461218.4049461 99.99999 9.99999 -0.0003271 1.0731
2461218.4050229 99.99999 9.99999 -0.0003271 1.0732
2461218.4051021 -2.29422 0.01942 -0.0003271 1.0733
2461218.4052614 -2.08105 0.01769 -0.0003271 1.0734
2461218.4053386 99.99999 9.99999 -0.0003271 1.0735
2461218.4054926 99.99999 9.99999 -0.0003271 1.0737
2461218.4055699 -1.98548 0.01648 -0.0003271 1.0738
2461218.4057376 -2.10875 0.01650 -0.0003271 1.0740
2461218.4059694 99.99999 9.99999 -0.0003271 1.0743
2461218.4060467 -2.22051 0.02111 -0.0003271 1.0744
2461218.4062153 -2.14637 0.01676 -0.0003271 1.0746
2461218.4062927 99.99999 9.99999 -0.0003271 1.0747
2461218.4064466 99.99999 9.99999 -0.0003272 1.0749
2461218.4065254 -2.25997 0.01900 -0.0003272 1.0749
2461218.4066852 99.99999 9.99999 -0.0003272 1.0751
2461218.4071589 99.99999 9.99999 -0.0003272 1.0757
2461218.4072364 99.99999 9.99999 -0.0003272 1.0758
2461218.4073135 99.99999 9.99999 -0.0003272 1.0759
2461218.4074700 99.99999 9.99999 -0.0003272 1.0761
2461218.4076194 99.99999 9.99999 -0.0003272 1.0763
2461218.4076964 99.99999 9.99999 -0.0003272 1.0764
2461218.4080930 99.99999 9.99999 -0.0003272 1.0769
2461218.4081704 99.99999 9.99999 -0.0003272 1.0769
2461218.4083255 -1.80906 0.01586 -0.0003272 1.0771
2461218.4084048 -2.25276 0.01985 -0.0003272 1.0772
2461218.4085667 99.99999 9.99999 -0.0003272 1.0774
2461218.4090450 -1.95068 0.01698 -0.0003272 1.0780
2461218.4091232 99.99999 9.99999 -0.0003272 1.0781
2461218.4092005 -2.04086 0.01752 -0.0003272 1.0782
2461218.4092789 -1.95478 0.01614 -0.0003272 1.0783
2461218.4093573 99.99999 9.99999 -0.0003272 1.0784
2461218.4096773 99.99999 9.99999 -0.0003273 1.0788
2461218.4099953 99.99999 9.99999 -0.0003273 1.0792
2461218.4101524 99.99999 9.99999 -0.0003273 1.0794
2461218.4103081 99.99999 9.99999 -0.0003273 1.0796
2461218.4106243 99.99999 9.99999 -0.0003273 1.0800
2461218.4109455 99.99999 9.99999 -0.0003273 1.0804
2461218.4110236 -2.09838 0.01690 -0.0003273 1.0805
2461218.4111788 -2.22279 0.02199 -0.0003273 1.0807
2461218.4112570 -2.03551 0.01733 -0.0003273 1.0808
2461218.4114192 99.99999 9.99999 -0.0003273 1.0810
2461218.4115760 -2.19256 0.01920 -0.0003273 1.0812
2461218.4116544 99.99999 9.99999 -0.0003273 1.0813
2461218.4118908 -1.91067 0.01614 -0.0003273 1.0816
2461218.4120448 99.99999 9.99999 -0.0003273 1.0818
2461218.4121228 99.99999 9.99999 -0.0003273 1.0819
2461218.4122000 99.99999 9.99999 -0.0003273 1.0820
2461218.4123680 99.99999 9.99999 -0.0003273 1.0822
2461218.4124451 -2.02247 0.01625 -0.0003273 1.0823
2461218.4125228 99.99999 9.99999 -0.0003273 1.0824
2461218.4128377 99.99999 9.99999 -0.0003273 1.0828
2461218.4129151 99.99999 9.99999 -0.0003273 1.0829
2461218.4129935 -2.22982 0.01845 -0.0003274 1.0830
2461218.4130708 99.99999 9.99999 -0.0003274 1.0831
2461218.4133139 99.99999 9.99999 -0.0003274 1.0834
2461218.4133903 99.99999 9.99999 -0.0003274 1.0835
2461218.4138708 99.99999 9.99999 -0.0003274 1.0842
2461218.4140272 -1.94259 0.01786 -0.0003274 1.0844
2461218.4142618 99.99999 9.99999 -0.0003274 1.0847
2461218.4143390 99.99999 9.99999 -0.0003274 1.0848
2461218.4144933 -2.07235 0.01787 -0.0003274 1.0850
2461218.4147344 99.99999 9.99999 -0.0003274 1.0853
