JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C-K1 s6 C-K2 s7 C-K3 s8 C-K4 s9 K1-K2 s10 K1-K3 s11 K1-K4 s12 K2-K3 s13 K2-K4 s14 K3-K4 s15 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461186.3268554 -0.21514 0.05503 -1.00424 0.09737 -1.02451 0.10133 -0.75455 0.07599 -0.18617 0.05516 -0.78910 0.10056 -0.80937 0.10439 -0.53941 0.08003 0.02897 0.06061 -0.02027 0.13172 0.24969 0.11339 0.81807 0.10063 0.26996 0.11681 0.83834 0.10446 0.56838 0.08012 0.0037052 1.9821
2461186.3269887 -0.29481 0.05291 -1.16442 0.10511 -1.12214 0.09796 -0.77803 0.07335 -0.27104 0.04976 -0.86961 0.10841 -0.82733 0.10150 -0.48322 0.07802 0.02376 0.05641 0.04228 0.13620 0.38639 0.11973 0.89337 0.10691 0.34411 0.11351 0.85109 0.09990 0.50699 0.07592 0.0037052 1.9824
2461186.3271232 -0.25565 0.05832 -1.00670 0.11669 -0.99281 0.09902 -0.78957 0.08285 -0.21428 0.05796 -0.75104 0.11999 -0.73716 0.10289 -0.53392 0.08744 0.04137 0.06436 0.01389 0.14423 0.21713 0.13364 0.79241 0.11982 0.20324 0.11853 0.77853 0.10269 0.57529 0.08720 0.0037052 1.9827
2461186.3273234 -0.18039 0.05568 -0.98138 0.09747 99.99999 9.99999 -0.73409 0.08342 -0.20112 0.05916 -0.80099 0.09923 99.99999 9.99999 -0.55370 0.08547 -0.02072 0.06203 99.99999 9.99999 0.24729 0.11707 0.78027 0.10123 99.99999 9.99999 99.99999 9.99999 0.53298 0.08778 0.0037052 1.9833
2461186.3274558 -0.19538 0.04927 -1.02731 0.09951 -1.09481 0.11486 -0.85919 0.08551 -0.21523 0.05419 -0.83193 0.10070 -0.89943 0.11589 -0.66381 0.08689 -0.01985 0.05634 -0.06749 0.14458 0.16812 0.12257 0.81208 0.10319 0.23562 0.13533 0.87958 0.11806 0.64396 0.08977 0.0037052 1.9836
2461186.3275885 -0.34531 0.05682 -1.09202 0.10390 -1.02861 0.09511 -0.83051 0.07664 -0.26959 0.05513 -0.74672 0.10646 -0.68330 0.09791 -0.48520 0.08008 0.07572 0.05983 0.06341 0.13097 0.26151 0.11824 0.82244 0.10558 0.19810 0.11060 0.75902 0.09694 0.56092 0.07890 0.0037052 1.9840
2461186.3277226 -0.34823 0.05585 -1.14772 0.09183 -0.98278 0.08546 -0.85861 0.07587 -0.29849 0.05284 -0.79949 0.09728 -0.63455 0.09130 -0.51038 0.08239 0.04974 0.06184 0.16494 0.11683 0.28911 0.11001 0.84923 0.09559 0.12417 0.10475 0.68429 0.08950 0.56012 0.08038 0.0037052 1.9843
2461186.3278576 -0.29548 0.05578 -1.22985 0.10810 -1.18065 0.09207 -1.04153 0.09269 -0.25222 0.05271 -0.93437 0.11232 -0.88517 0.09699 -0.74604 0.09758 0.04326 0.06090 0.04921 0.13409 0.18833 0.13452 0.97763 0.11083 0.13912 0.12201 0.92843 0.09525 0.78931 0.09586 0.0037052 1.9847
2461186.3280546 -0.34880 0.05079 -1.10774 0.09487 -1.04091 0.08535 -0.89839 0.07927 -0.36797 0.05353 -0.75894 0.09884 -0.69211 0.08975 -0.54959 0.08399 -0.01916 0.06029 0.06683 0.12031 0.20934 0.11608 0.73977 0.10027 0.14251 0.10844 0.67294 0.09133 0.53043 0.08567 0.0037052 1.9852
2461186.3281878 -0.20356 0.05085 -1.04394 0.09411 -0.96971 0.09554 -0.83115 0.08379 -0.27101 0.05861 -0.84038 0.09543 -0.76615 0.09684 -0.62759 0.08526 -0.06745 0.06071 0.07423 0.12509 0.21279 0.11637 0.77293 0.09978 0.13857 0.11752 0.69870 0.10113 0.56013 0.09011 0.0037051 1.9856
