JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.4208791 99.99999 9.99999 -0.0003276 1.0937
2461218.4209566 99.99999 9.99999 -0.0003276 1.0938
2461218.4211113 99.99999 9.99999 -0.0003276 1.0940
2461218.4213503 99.99999 9.99999 -0.0003276 1.0944
2461218.4214293 99.99999 9.99999 -0.0003276 1.0945
2461218.4215859 -1.90700 0.01637 -0.0003276 1.0947
2461218.4216633 99.99999 9.99999 -0.0003276 1.0948
2461218.4218238 99.99999 9.99999 -0.0003276 1.0950
2461218.4219009 99.99999 9.99999 -0.0003276 1.0952
2461218.4219783 -1.96136 0.01689 -0.0003276 1.0953
2461218.4220565 99.99999 9.99999 -0.0003276 1.0954
2461218.4221344 99.99999 9.99999 -0.0003276 1.0955
2461218.4223724 99.99999 9.99999 -0.0003276 1.0958
